brand,name,color,type,collection,Formula
Julep,Nadia,Yellow,Glass Flecked,,
Julep,Paris,Silver,Hex Glitter,,
L'Oreal,Eiffel for You,Grey Purple,Creme,,
ncLA,Not So Sweet,Pink ,Creme,,5 free
Nubar,Faded Putty,Beige,Creme,,
Nubar,Merci,White,Sheer,,
OPI,A Woman's Prague-Ative,Orange Bronze,Glass Flecked,,
OPI,Berlin There Done That,Taupe,Creme,,
OPI,Glitzerland,Gold ,Foil,,
OPI,I Sao Paulo Over There,Mauve,Creme,Brazil Collection (Summer 2014),
OPI,Not Like the Movies,Silver,Foil,,
OPI,Polka.com,Fuchsia Blue,Hex Glitter,,
OPI,Silver Shatter,Silver,Crackle,,
OPI,Ski Teal we Drop,Dark Teal,Creme,,
OPI,This Gown Needs a Crown,Silver,Suede,,
OPI,Up Front and Personal,Champagne,Foil,,
OPI,What Wizardry is This?,Olive Green/Gold,Textured,,
OPI,Where Did Suzi's Man-Go?,Orange,Creme,Brazil Collection (Summer 2014),
OPI,William Tell me About OPI,Red Black,Creme,,
OPI ,My Pointe Exactly,Light Grey,Sheer,,
ORLY,Bonder,n/a,Rubberized Base Coat,,
Paint Box Polish,His Chosen One,Gold Cream,Flakie,,
Paint Box Polish,Mama Lion,Bronze Brown,Glass Flecked,,
Picture Polish,Sky,Light Blue,Creme,,
rescue beauty lounge,Footpath,Mustard,Creme,,
Sally Hansen ,Disco Ball,Iridescent,Glitter,,
Sally Hansen ,Fairy Teal,Dark Teal,Creme,,
Sally Hansen ,Mermaid's Tale,Blue Green,Hex Glitter,,
Sally Hansen I<3 Nail Art,Black,Black,Nail Art Pen,,
Sally Hansen I<3 Nail Art,Silver,Silver,Nail Art Pen,,
Sally Hansen I<3 Nail Art,White,White,Nail Art Pen,,
Sally Hansen Prisms,Bronze Presents,Bronze,Duochrome,,
Seche,Simplicity,Nude,Creme,,
Sephora (by OPI),Blasted Gold,Gold ,Crackle,,
Sinful Colours,Cinderella,Light Blue,Glass Flecked,,
Soulstice,Cassis,Red ,Glass Flecked,,
Tivoli,NP009,Silver,Foil,,
Tivoli,NP019,Orange,Neon,,
Victoria's Secret,Backstage,Pink,Hex Glitter,,
Victoria's Secret,Brighten Up,Green/Yellow,Creme,,
Victoria's Secret,Steal the Show,Champagne,Foil,,
Winmax,Galaxy,Champagne,Foil,,
Zoya,Chloe,Pink,Flakie,,
Zoya,Cho,Nude,Shimmer,,
Zoya,Cosmo,Silver,Textured,,
Zoya,Dahlia,Black,Textured,,
Zoya,Evvie,Dark Olive,Creme,,
Zoya,Hermina,Champagne,Metallic,,
Zoya,London,Grey,Textured,,
Zoya,Maria Luisa,Gold ,Flakie,,
Zoya,Monet,Pink/Iridescent,Glitter,,
Zoya,Normani,Brown Purple,Creme,,
Zoya,Opal,Green,Flakie,,
Zoya,Pandora,Pink,Glass Flecked,,
Zoya,Shay,Flesh,Glass Flecked,,
Zoya,Sooki,Red ,Creme,,
Zoya ,Dea,Brown,Creme,,
