name,brand,code,collection,color,type,indie
Lime After Lime,China Glaze,,2016 Lite Brites (Summer),green,creme,no
Whip It Good,China Glaze,,2017 Lite Brites (Summer),yellow,creme,no
None of Your Risky Business,China Glaze,,2018 Lite Brites (Summer),orange,creme,no
I'll Pink to That,China Glaze,,2019 Lite Brites (Summer),pink,creme,no
Hot Flash,China Glaze,,2020 Lite Brites (Summer),red,creme,no
I Got a Blue Attitude,China Glaze,,2021 Lite Brites (Summer),"blue, purple",shimmer,no
eeeek,,,,,,
Bite Me,China Glaze,,2022 Lite Brites (Summer),"pink, coral",shimmer,no
Lip Smackin' Good,China Glaze,,2023 Lite Brites (Summer),pink,creme,no
Papa Don't Peach,China Glaze,,2024 Lite Brites (Summer),orange,fleck,no
What I Like About Blue,China Glaze,,2025 Lite Brites (Summer),"blue, purple",shimmer,no
Let's Jam,China Glaze,,2026 Lite Brites (Summer),purple,shimmer,no
We Got the Beat,China Glaze,,2027 Lite Brites (Summer),purple,"jelly, fleck",no
,China Glaze,,2028 Lite Brites (Summer),,,no
