brand,name,collection,color,type,Notes,
Afterthoughts - Attitudes,Generation Next,,Grey w/ green flash,Metallic,,
Afterthoughts - Attitudes,Glitzy Gaugin,,Green,Foil,,
Artmatic,Butterscotch,,Gold,Glitter,,
Artmatic,Emerald City,,Forest green,Shimmer,,
Artmatic,Freesia,,Lilac w/ pink flash ,Shimmer,,
Artmatic,Mink Lustre,,Antique gold,Shimmer,,
Artmatic,Mylar,,Multi,Glitter,,
Artmatic,Renegade,,Navy blue,Shimmer,,
Artmatic,Zambuca Rush,,Cinnamon,Creme,,
Atrophie,Ectoplasm,,Green w/ gold glitter,Glitter,,
Atrophie,Sunken Treasure,,Cerulean w/ green glitter,Glitter,,
Avon,Olive Green,,Olive green,Creme,,
Barielle,Falling Star,,Blue w/ orange glitter,Glitter,,
Barry M,Croc Effects,,Black,Croc shatter,,
Barry M,Racing Green,,Forest green,Shimmer,,
Barry M,Raspberry,,Berry,Creme,,
Barry M,Vivid Purple,,Purple,Shimmer,,
Bath and Body Works - Color Drops,Cool Green Watermelon,,Green w/ pink flash,Shimmer,,
Bath and Body Works - Color Drops,Cool Pink Watermelon,,Pink,Shimmer,,
Bath and Body Works - Color Drops,Electric Blue,,Blue,Shimmer,,
Bath and Body Works - Color Drops,Light Purple,,Lavender w/ blue flash,Shimmer,,
Bath and Body Works - Color Drops,Water,,Lime green ,Frost,Scented,
BB Couture,Caterpillar,,Green,Shimmer,,
BB Couture,Grenade,,Green ,Shimmer,,
BB Couture,Hermosa Surfer Girl,,Pink,Jelly glitter,,
BB Couture,Man Bug,,Turquoise,Jelly glitter,,
BB Couture,Saturday Night Fever,,Dark green,Jelly glitter,,
BB Couture,Sea of Cortez,,Blue,Jelly glitter,,
BB Couture,Stick Shift,,Mustard yellow w/ pink flash,Shimmer,,
Black Cat Lacquer,America F*ck Yeah!,,Multi,Glitter,,
Borghese,Almondine,,Nude,Brocade shimmer,,
Bourjois,Bleu Fabuleux,,Blue,Creme,,
Bourjois,Bleu Water,,Sky blue ,Creme,,
Bourjois,Figue Chic,,Lavender,Creme,,
Bourjois,Jaune Trendy,,Yellow,Creme,,
Bourjois,Orange Creation,,Orange,Creme,,
Bourjois,Python Top Coat,,Red,Crackle,,
,,,,,,
Brucci,Black Emerald,,Blackened green,Shimmer,,
Butter London,All Hail the Queen,,Taupe,Holo,,
Butter London,Bluey,,Blue green,Shimmer,,
Butter London,Henley Regatta,,Blue and green,Glitter,,
Butter London,HRH,,Purple,Metallic,,
Butter London,Marrow,,Purple,Hidden Shimmer,,
Butter London,Muggins,,Lilac,Creme,,
Butter London,The Black Knight,,Black w/ pink and blue glitter,Glitter,,
Butter London,Victoriana,,Dusty light blue,Brocade shimmer,,
Butter London,Wallis,,Olive,Shimmer,,
By Terry,Eccentric Vermillion,,Poppy,Crene,,
BYS,Adventures of Alice,,Green,Glitter,,
BYS,Fern,,Green ,Shimmer,,
BYS,Thunderstorm,,Dark green w/ glitter,Glitter,,
Candeo,Orchid,,Red and silver glitter,Glitter,,
Candy Lacquer,Starlight,,Silver holo,Glitter,,
Catrice,Dirty Berry,,Periwinkle,Shimmer,,
Catrice,Hip Queens Wear Blue Jeans,,Dusty blue,Hidden Shimmer,,
Catrice,King of Greens,,Green,Shimmer,,
Catrice,Moonlight Express,,Teal,Foil,,
Catrice,Out of Space,,Black and blue,Glass fleck,,
Catrice,Return of Space Cowboys,,Teal,Glass fleck,,
Chanel,Ciel de Nuit,,Dark blue w/ silver glitter,Glitter,Decant,
Chanel,Clair-Obscur,,Lavender w/ gold flash,Shimmer,,
Chanel,Frisson,,Pink,Shimmer,,
Chanel,Holiday,,Orange,Creme,,
Chanel,Holographic,,Silver,Holo,Decant,
Chanel,Rouge Noir,,Vampy Red,Creme,,
Chanel ,Blue Boy,,Medium blue,Creme,,
Chanel ,Blue Satin,,Deep blue,Shimmer,,
Chanel ,Cobra,,Eggplant/green,Duochrome,,
Chanel ,Graphite,,Silver,Foil,,
Chanel ,Peridot,,Green/gold,Duochrome,,
Chelsea,Polynesia Isle,,Bronze,Shimmer,,
Chelsea,Salsa,,Purple w/ green flash,Shimmer,,
Chelsea,Tropic of Cancer,,Blue/purple/bronze,Multichrome,,
Chi Chi,Moondust,,Blue w/ silver ,Glitter,,
China Glaze,Ahoy!,Anchors Away,Magenta,Glass fleck,,
China Glaze,Below Deck,Anchors Away,Mauve,Creme,,
China Glaze,First Mate,Anchors Away,Navy blue,Creme,,
China Glaze,Pelican Gray,Anchors Away,Grey,Creme,,
China Glaze,Ick-a-bod-y,Awakening,Green w/ orange glitter,Glitter,,
China Glaze,Mummy May I,Awakening,Purple,Glitter,,
China Glaze,Zombie Zest,Awakening,Murky green,Glass fleck,,
China Glaze,Bahamian Escape,Bahama Blues,Baby blue,Creme,,
China Glaze,Unpredictable,Bohemian,Green/blue,Duochrome,,
China Glaze,Broken Hearted,Crackle Glaze,Pink,Crackle,,
China Glaze,Cracked Concrete,Crackle Glaze,Grey,Crackle,,
China Glaze,Crushed Candy,Crackle Glaze,Tiffany blue,Crackle,,
China Glaze,Fault Line,Crackle Glaze,Purple,Crackle,,
China Glaze,Lightning Bolt,Crackle Glaze,White,Crackle,,
China Glaze,Custom Kicks,Custom Kicks,Teal,Hidden Shimmer,,
China Glaze,Solar Power,Ecollection,Yellow,Shimmer,,
China Glaze,Marry a Millionaire,Eye Candy,Puple,Bar glitter,,
China Glaze,Some Like it Haute,Eye Candy,Charcoal,Holo Glitter,,
China Glaze,It's Alive,Haunting,Murky green,Glitter,,
China Glaze,Agro,Hunger Games,Olive,Shimmer,,
China Glaze,Fast Track,Hunger Games,Taupe w/ gold,Shimmer,,
China Glaze,Harvest Moon,Hunger Games,Copper,Metallic,,
China Glaze,Stone Cold,Hunger Games,Charcoal,Matte (sueded),,
China Glaze,Cha Cha Cha,Island Escape,Green,Shimmer,,
China Glaze,Electric Pineapple,Island Escape,Yellow-green,Creme,,
China Glaze,Papaya Punch,Island Escape,Orange,Creme,,
China Glaze,He's Going in Circles,Kaleidoscope,Green,Holo,,
China Glaze,How About a Tumble,Kaleidoscope,Pink,Holo,,
China Glaze,It's My Turn,Kaleidoscope,Gold,Holo,,
China Glaze,Let's Do it in 3D,Kaleidoscope,Gunmetal,Holo,,
China Glaze,Octa Gone Wild,Kaleidoscope,Purple,Holo,,
China Glaze,Sexagon,Kaleidoscope,Silver,Holo,,
China Glaze,Visit Me in Prism,Kaleidoscope,Lilac,Holo,,
China Glaze,2030,Khrome,Gold ,Chrome,,
China Glaze,Blue Year's Eve,Let it Snow,Blue ,Glass fleck,,
China Glaze,Snow Globe,Let it Snow,White holo glitter,Glitter,,
China Glaze,Brownstone,Metro,Red-brown ,Creme,,
China Glaze,CG in the City,Metro,Purple,Glitter,,
China Glaze,Midtown Magic,Metro,Brown,Glass fleck,,
China Glaze,Skyscraper,Metro,Blue,Glitter,,
China Glaze,Trendsetter,Metro,Green-yellow,Brocade shimmer,,
China Glaze,Wetside Warrior,Metro,Olive green,Creme,,
China Glaze,Limonyte,Nervy Neons,Neon green,Shimmer,,
China Glaze,Crocodile Lounge,Old style bottle,Seafoam green,Shimmer,,
China Glaze,Dusk,Old style bottle,Mauve w/ pink shimmer,Shimmer,,
China Glaze,Go Crazy Red,Old style bottle,Red,Shimmer,,
China Glaze,Mink Frost,Old style bottle,Mauve,Shimmer,,
China Glaze,Moonpool,Old style bottle,Green,Shimmer,,
China Glaze,Orchid Shadow,Old style bottle,Taupe,Shimmer,,
China Glaze,Out on Safari,Old style bottle,Brown w/ green shimmer,Shimmer,,
China Glaze,Sundiver,Old style bottle,Yellow w/ silver glitter,Creme,,
China Glaze,2NITE,OMG,Periwinkle,Holo,,
China Glaze,DV8,OMG,Teal,Holo,,
China Glaze,FYI,OMG,Taupe,Holo,,
China Glaze,IDK,OMG,Light purple,Holo,,
China Glaze,L8R G8R,OMG,Green,Holo,,
China Glaze,I'm Not Lion,On Safari,Gold,Holo glitter,,
China Glaze,Flip Flop Fantasy,Poolside,Neon pink,Neon,,
China Glaze,Kiwi Cool-ada,Poolside,Neon green,Neon,,
China Glaze,Sun Worshipper,Poolside,Neon orange-yellow,Neon,,
China Glaze,Stroll,Retro Diva,Red w/ gold ,Glass fleck,,
China Glaze,Branding Iron,Rodeo Diva,Red,Shimmer,,
China Glaze,Cowgirl Up,Rodeo Diva,Red-purple,Shimmer,,
China Glaze,Side Saddle,Rodeo Diva,Brown ,Shimmer,,
China Glaze,Wagon Trail,Rodeo Diva,Deep olive green,Shimmer,,
China Glaze,Cherish,Romantique,Green,Metallic,,
China Glaze,Frostbite,Ski,Royal blue ,Shimmer,,
China Glaze,Emerald Sparkle,Sleigh Ride,Green,Glitter,,
China Glaze,For Audrey,Something Blue,Tiffany blue,Creme,,
China Glaze,Dreamsicle,Specialty Colors,Orange,Glitter,,
China Glaze,Meteor Shower,Specialty Colors,Blue,Glitter,,
China Glaze,Fortune Teller,Spellbound,Black w/ orange glitter,Glitter,,
China Glaze,Spellbound,Spellbound,Orange and silver,Glitter,,
China Glaze,Strawberry Fields,Summer Days,Pink,Glass fleck,,
China Glaze,Party Hearty,Tis the Season,Green and red,Glitter,,
China Glaze,Peace on Earth,Tis the Season,Olive green,Frost,,
China Glaze,Mistletoe Me!,Ulta Holiday Exclusives 2011,Hot pink,Foil,,
China Glaze,Four Leaf Clover,Up & Away,Green,Creme,,
China Glaze,Grape Pop,Up & Away,Medium purple,Creme,,
China Glaze,Sugar High,Up & Away,Hot pink,Creme,,
China Glaze,Classic Camel,Vintage Vixen,Camel,Shimmer,,
China Glaze,Ingrid,Vintage Vixen,Brown ,Shimmer,,
China Glaze,Immortal,Wicked,Grey,Shimmer,,
China Glaze,Dorothy Who?,Wizard of Ooh Ahz Returns,Blue,Glitter,,
China Glaze,Ruby Pumps,Wizard of Ooh Ahz Returns,Red,Glitter,,
