brand,name,color,type,collection,Formula
A England,Camelot,Black,Creme,,
A England,She Walks in Beauty,Pink Gold,Hex Glitter,,
American Apparrel,Galaxy,Multicoloured,Hex Glitter,,
American Classics,Gelous,n/a,Gel Coat,,
American Outfitters,Green 9,Dark Green,Creme,,
Blue Cross,Fat Tuesday,Silver,String Glitter,,
Borghese,Espresso Brown,Burgundy,Glass Flecked,,
butter London,Artful Dodger,Blue Grey,Creme,,
butter London,Wallis,Gold/Green,Glass Flecked,,
butter London,Dodgy Barnett,Silver,Holographic,,
butter London,Keks,Blue,Matte,,
butter London,Bumster,Mustard,Creme,,
butter London,Fiver,Mint Green,Creme,,
butter London,Jack the Lad,Dark Green,Shimmer,,
butter London,Thames,Teal Green,Glass Flecked,,
butter London,Tea & Toast,Light Brown,Creme,,
butter London,Champers,Champagne,Foil,,
butter London,Teddy Girl,Pink,Creme,,
butter London,Shandy,Flesh,Creme,,
butter London,Chancer,Red ,Glitter,,
butter London,Shambolic,Purple,Hex Glitter,,
butter London,Muggins,Lilac,Creme,,
butter London,The Black Knight,Black Multicoloured,Glitter,,
butter London,Brass Monkey,Gold Orange,Flakie,,
butter London,Leccy,Blue Orange,Flakie,,
butter London,Rebel Fox,Burgundy,Glass Flecked,,
butter London,Bluecoat,Royal Blue,Glass Flecked,,
butter London,Matte Finish Topcoat,n/a,Matte,,
butter London,Fairy Cake,Silver,Glitter,,
butter London,Knees Up,Red ,Foil,,
butter London,Jasper,Light Yellow,Creme,,
butter London,"No More Waity, Katie",Grey Lavender,Glitter,,
Chi,Fashion Junkie,Red ,Creme,,
China Glaze,Pelican Gray,Grey,Creme/Glass Flecked,,
China Glaze,Immortal,Dark Grey,Glass Flecked,,
China Glaze,Recycle,Dark Grey,Creme,,
China Glaze,Blue Years Eve,Royal Blue,Shimmer,,
China Glaze,Flyin' High,Medium Blue,Creme,,
China Glaze,Turned Up Turquoise,Teal Green,Satin,,
China Glaze,For Audrey,Light Teal Blue,Creme,,
China Glaze,Too Yacht to Handle,Light Teal Green,Creme,,
China Glaze,Polka-Dot Bikini,Yellow,Neon,,
China Glaze,Of Coarse,Blue,Textured,,
China Glaze,I Herd That,Gold ,Glitter,,
China Glaze,In the Rough,Light Green,Textured,,
China Glaze,Cracked Medallion,Copper,Crackle,,
China Glaze,Candy Crackle,Teal ,Crackle,,
China Glaze,Your Present Required,Multicoloured,Glitter,,
China Glaze,OMG a UFO,Olive Green,Holographic,,
China Glaze,It's a Trapeze,Multicoloured,Hex Glitter,,
China Glaze,Make a Spectacle,Iridescent,Glitter,,
China Glaze,Fairy Dust,Iridescent,Glitter,,
China Glaze,Luxe and Lush,Multicoloured,Flakie Shards,,
China Glaze,Aluminate,Silver,Textured,,
China Glaze,There's Snow One Like You,White,Textured,,
China Glaze,Don't Honk Your Thorn,Nude,Shimmer,,
China Glaze,Liquid Leather,Black,Creme,,
China Glaze,Re-fresh Mint,Mint Green,Creme,,
China Glaze,Moonlight,White,Sheer Creme,,
China Glaze,Ghoulish Glow,n/a,Glow in the Dark Topcoat,,
Cirque,Never Nude,Champagne,Holographic,,
Cirque,XX,Multicoloured,Hex Glitter,,
Cirque,Lullaby,Pastel Colours,Shape Glitter,,
coco + lulu,Eiffel Tower,Gray,Shimmer,,
Color Club,High Society,Mauve,Creme,,
Color Club,Age of Aquarius,Teal ,Creme,,
Color Club,Antiquated,Champagne,Foil,,
Color Club,Beyond,Black,Holographic,,
Color Club,Angel Kiss,Blue,Holographic,,
Color Show,Drops of Jade,Black White Green ,Hex Glitter,,
Color Show,Clearly Spotted,Black White,Hex Glitter,,
Cover Girl,Forever Fawn,Flesh,Creme,,
Daiso,Blue ,Blue Silver,Hex Glitter,,
Daiso ,Silver,Silver,Hex Glitter,,
Deborah Lippmann,Marquee Moon,Silver,Shimmer/Glitter,,
Deborah Lippmann,Shake Your Money Maker,Blue Green Gold,Hex Glitter,,
Deborah Lippmann,Nefertiti,Gole,Glass Flecked,,
Deborah Lippmann,Mermaid's Dream,Teal Blue Gold,Glitter,,
Deborah Lippmann,Ray of Light,Orange (Blue),Flakie,,
Elevation Polish,Limestone,White Gold,Glass Flecked,,
Emily De Molly,Monet's Garden,Blue Green Fuschia,Hex Glitter,,
Emily De Molly,Copper Field,Teal Copper,Hex Glitter,,
Emily De Molly,Serenity,Teal Pink,Hex Glitter,,
Emily De Molly,Bo Peep,Teal Purple Pink,Hex Glitter,,
Essie,Rock the Boat,Light Blue,Glass Flecked,,
Essie,Going Incognito,Dark Pine,Creme,,
Essie,No Place Like Chrome,Silver,Metallic,,
Essie,Naughty Nautical,Teal ,Glass Flecked,,
Essie,Turquoise & Caicos,Light Teal Green,Creme,,
Essie,The More the Merrier,Bright Green,Creme,,
Essie,Hot Coco,Brown,Creme,,
Essie,Full Steam Ahead,Light Purple,Creme,,
Essie,Chinchilly,Grey Purple,Creme,,
Essie,Penny Talks,Copper,Metallic,,
Essie,Playa del Platinum,Beige,Creme,,
Essie,Main Squeeze,Lilac,Iridescent,,
Essie,The Girls are Out,Fuchsia,Glass Flecked,,
Essie,Sunday Funday,Orange,Glass Flecked,,
Essie,Fear or Desire,Orange,Creme,,
Essie,Belugaria,Black,Textured,,
Essie,Lil' Boa Peep,Copper,Magnetic,,
Essie,Peak of Chic,White Silver,String Glitter,,
Essie,As Gold as it Gets,Gold ,Glitter,,
Essie,Matte About You,n/a,Matte Topcoat,,
Essie,Fill the Gap,n/a,Ridge Filler,,
Essie ,Pure Pearlfection,White,Pearl,,
Essie ,Shine of the Times,Multicoloured,Flakie,,
Essie ,Sparkle on Top,Green,Flakie,,
Formula X,Thunder,Pink Blue White,Large Hex Glitter,,
Girly Bits,"Ornamental, my Dear Watson",Multicoloured,Square Hex Glitter,,
Girly Bits,Heirloom,Pink,Hex Glitter,,
Icing,Twisted Fantasy,Blue Multicolour,Hex Glitter,,
Icing,Afterparty,Multicoloured,Foil Shards,,
Illamasqua,Raindrops,Blue Silver,Glitter,,
Julep,Mackenzie,Bright Green,Glass Flecked,,
Julep,Susie,Pastel Green,Creme,,
Julep,Morgan,Purple,Glass Flecked,,
Julep,Lauren,Pink,Neon,,
Julep,Carrie,Pink,Creme,,
Julep,Nadia,Yellow,Glass Flecked,,
Julep,Tracy,Blue,Glitter,,
Julep,Paris,Silver,Hex Glitter,,
Julep ,Marie,Pink,Metallic,,
KB Shimmer,Totally Tubular,Fuchsia Blue,Hex Glitter,,
